year,fy_total,oct,nov,dec,jan,feb,mar,apr,may,jun,jul,aug,sep
2023,1985,369,169,368,284,300,495,0,0,0,0,0,0
2022,1618,19,41,11,28,34,29,151,270,261,127,218,429
2021,872,0,4,5,25,18,38,66,92,162,84,149,229
2020,604,0,91,190,119,132,50,1,2,10,1,0,8
2019,1198,34,46,35,34,23,44,114,130,122,216,236,164
2018,806,13,14,55,56,101,160,48,58,91,92,57,61
2017,1311,229,199,158,246,156,38,65,100,55,15,15,35
2016,2737,168,93,132,138,220,299,170,175,158,342,213,629
2015,910,47,44,44,43,57,119,96,61,69,89,75,166
2014,753,30,123,39,78,75,37,38,37,94,88,45,69
2013,661,48,46,81,24,29,25,71,56,97,34,34,116
2012,481,25,33,20,58,18,16,28,39,59,31,31,123
2011,428,21,51,42,22,9,21,7,44,24,63,44,80
2010,515,29,32,41,86,86,64,48,66,29,0,9,25
2009,349,33,34,46,21,28,36,30,24,11,30,7,49
2008,576,33,14,31,28,82,45,74,51,13,107,60,38